iter	Passed	Remaining
829	17618	3608
830	17637	3586
831	17657	3565
832	17676	3543
833	17696	3522
834	17716	3500
835	17736	3479
836	17756	3457
837	17775	3436
838	17794	3414
839	17813	3393
840	17834	3371
841	17854	3350
842	17874	3328
843	17893	3307
844	17913	3285
845	17933	3264
846	17952	3242
847	17971	3221
848	17991	3199
849	18010	3178
850	18029	3156
851	18050	3135
852	18070	3114
853	18089	3092
854	18109	3071
855	18129	3049
856	18148	3028
857	18168	3006
858	18188	2985
859	18210	2964
860	18228	2942
861	18248	2921
862	18266	2899
863	18286	2878
864	18311	2857
865	18334	2836
866	18354	2815
867	18380	2795
868	18402	2774
869	18422	2752
870	18444	2731
871	18465	2710
872	18487	2689
873	18507	2668
874	18534	2647
875	18559	2627
876	18585	2606
877	18614	2586
878	18640	2565
879	18663	2545
880	18685	2523
881	18705	2502
882	18726	2481
883	18747	2460
884	18767	2438
885	18787	2417
886	18806	2395
887	18828	2374
888	18847	2353
889	18866	2331
890	18885	2310
891	18905	2288
892	18953	2271
893	18989	2251
894	19014	2230
895	19033	2209
896	19055	2188
897	19076	2166
898	19096	2145
899	19121	2124
900	19142	2103
901	19165	2082
902	19190	2061
903	19220	2041
904	19247	2020
905	19270	1999
906	19294	1978
907	19314	1957
908	19334	1935
909	19353	1914
910	19374	1892
911	19393	1871
912	19412	1849
913	19431	1828
914	19450	1806
915	19469	1785
916	19490	1764
917	19511	1742
918	19529	1721
919	19548	1699
920	19567	1678
921	19586	1657
922	19606	1635
923	19625	1614
924	19644	1592
925	19662	1571
926	19682	1549
927	19700	1528
928	19720	1507
929	19739	1485
930	19759	1464
931	19778	1443
932	19798	1421
933	19817	1400
934	19836	1379
935	19855	1357
936	19874	1336
937	19893	1314
938	19912	1293
939	19932	1272
940	19951	1250
941	19970	1229
942	19989	1208
943	20010	1187
944	20039	1166
945	20058	1144
946	20077	1123
947	20097	1102
948	20122	1081
949	20142	1060
950	20162	1038
951	20183	1017
952	20203	996
953	20228	975
954	20250	954
955	20269	932
956	20295	911
957	20317	890
958	20342	869
959	20362	848
960	20382	827
961	20401	805
962	20427	784
963	20446	763
964	20466	742
965	20486	721
966	20504	699
967	20524	678
968	20543	657
969	20568	636
970	20587	614
971	20605	593
972	20626	572
973	20645	551
974	20663	529
975	20683	508
976	20701	487
977	20721	466
978	20745	445
979	20766	423
980	20786	402
981	20806	381
982	20826	360
983	20845	338
984	20865	317
985	20883	296
986	20904	275
987	20924	254
988	20949	233
989	20969	211
990	20987	190
991	21007	169
992	21026	148
993	21047	127
994	21067	105
995	21086	84
996	21104	63
997	21127	42
998	21150	21
999	21172	0
